brand,product,price,currency
Blue line,"Blueline Business Notebook, Black, 192 Pages, 9-1/4 Inches x 7-1/4 Inches",6.97,CDN$
Asus,"ASUS Chromebook 11.6"" Laptop (Rockchip 3288, 4GB, 16GB SSD) - Navy Blue",258.98,CDN$
Poppin,"Poppin Mini Soft Cover Notebook, Set of 3, Aqua",7.86,CDN$
Journal Diary,Journal Diary String Key Retro Vintage Classic Leather Bound Notebook (BC-11551),8.89,CDN$
Five Star,"Five Star Fat Lil' Wirebound Notebook 200-Count, Assorted Color Covers (45388)",3.23,CDN$
Five Star,"Five Star 1-subject Notebook, 11 X 8.5 Inches, 200 Pages, Assorted Color Covers (06124)",8.37,CDN$
Blue line,"Blueline NotePro Notebook 9.25x7.25-Inch 192 Pages, Black (A9C.81)",8.87,CDN$
Poppin,"Poppin Pocket Notebook, Aqua",7.86,CDN$
Poppin,"Poppin Medium Soft Cover Notebook, Black",11.79,CDN$
Redi-Tag,"Redi-Tag-Divider Sticky Notes 60 Ruled, 4 X 6-Inch, Assorted Neon Colors-29500",4.99,CDN$
Pinkcoo,"7""x5"" Vintage Retro Leather Cover Notebook Journal Blank String Nautical",8.99,CDN$
Hilroy,"Hilroy Coil 5-subject Notebook, Wide Ruled, 10.5 X 8 Inches, 360 Pages, Assorted Color Covers (05693)",5.26,CDN$
Hilroy,"Hilroy Canada Stitched Exercise Book, 3 Hole Punched, 4 Pack, 32 Pages, Assorted Color Covers",1.97,CDN$
Hilroy,"Hilroy Coil 1-subject Wide Ruled Notebook, 10.5 X 8 Inches, 3 Hole Punched, 200 Pages, Assorted Color Covers (13224)",2.3,CDN$
Poppin,"Poppin Mini Medley of Soft Cover Notebooks, Set of 10, Assorted",26.2,CDN$
Cavallini & Co.,"Cavallini Vintage Maps 4x5, 3 Mini Notebooks",10.0,CDN$
Grandluxe,"Grandluxe Red, Camel and Black Monolette Indexed, Lined and Perforated Blank Notebooks Pocket Set, Set of 3, 2.56 X 4.1 Inch - 500764",5.99,CDN$
Five Star,"Five Star Heavyweight Quad Ruled Notebook, 3 Hole Punched, 11 x 8-1/2 Inches, 100 Sheets, Assorted Color Covers (06280)",5.96,CDN$
Asus,"ASUS F555LA 15.6"" Full-HD Laptop (Core i3, 4GB RAM, 500GB HDD) with Windows 10",489.99,CDN$
niceEshop,niceEshop(TM) 10.1 Inch Computer Netbook Notebook Laptop(Black),140.99,CDN$
Black 'N' Red,"Black n' Red Twin Wirebound Notebook, Poly Cover, 11.75x8.25-Inch, Black, 70-Sheet",12.6,CDN$
iScholar,"iScholar iQ 5-Subject Poly Cover Wirebound Notebook, College Ruled, 11 X 8.5-Inch Sheet Size, 200 Sheets, Cover Color May Vary - 59906",11.99,CDN$
MUJI,MUJI Notebook A5 6mm Rule 30sheets - Pack of 5books [5colors Binding],15.0,CDN$
Ban.do,"Ban.do 53811 Rough Draft Spiral Notebook Florabunda, 1-Count",12.8,CDN$
Cambridge,"Cambridge Personal Notebook, 7 X 5 Inches, 140 Sheets/280 Pages, Assorted Colors (45470)",4.97,CDN$
Cambridge,"Cambridge Spiral Bound Business Notebook, 9.5 X 7.25 Inches, 160 Pages (06364)",4.87,CDN$
Blue line,"Blueline Business Notebook 9.25x7.25-Inch 192 Pages, Green (A9.84)",9.75,CDN$
